business_name,address,phone_number,email,city,state,zip_code_postcode,website,description,latitude,longitude,ticker_symbol,kindex_score,is_black_owned,business_location,category,hero_image,owner_name,is_premium,tier_level,is_ecommerce,is_veteran,subscription_tier,marketing_generations_used,is_priority_pinned,is_claimed,kindex_velocity,ar_asset_url,is_ar_enabled,has_flash_beacon,loi_signed,marketing_tier,doordash_url,ubereats_url,grubhub_url,is_delivery_eligible,firestore_location,search_keywords,is_farmer,is_wholesale,is_retail,is_verified,review_count,interaction_count,total_sentiment_score
Wake and Bake,"5001 N Mesa St Bldg 2 Suite A, El Paso, TX 79912",9153048269,,El Paso,Texas,79912,http://www.wakebakeelpaso.com/,,31.8119696,-106.5129086,WAKE,500,FALSE,"31.8119696, -106.5129086",Coffee shop,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8119696, -106.5129086",,FALSE,FALSE,FALSE,FALSE,0,0,0
The Hoppy Monk,"4141 N Mesa St, El Paso, TX 79902",9153073263,,El Paso,Texas,79902,http://www.thehoppymonk.com/elpaso,"Upbeat bar with a huge selection of beers on tap, plus elevated, globally inspired pub food.",31.79248,-106.5088015,HOPP,500,FALSE,"31.79248, -106.5088015",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.79248, -106.5088015",,FALSE,FALSE,FALSE,FALSE,0,0,0
Crave Kitchen & Bar,"300 Cincinnati Ave, El Paso, TX 79902",9153513677,,El Paso,Texas,79902,http://cravekitchenandbar.com/,"Cozy, brick-walled American bistro serving upscale comfort food for breakfast, lunch & dinner.",31.7773967,-106.5018591,CRAV,500,FALSE,"31.7773967, -106.5018591",Breakfast restaurant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.7773967, -106.5018591",,FALSE,FALSE,FALSE,FALSE,0,0,0
Savage Goods,"1201 N Oregon St, El Paso, TX 79902",9153834765,,El Paso,Texas,79902,http://savagegoods.com/,,31.7653917,-106.4947333,SAVA,500,FALSE,"31.7653917, -106.4947333",Cafe,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7653917, -106.4947333",,FALSE,FALSE,FALSE,FALSE,0,0,0
Anson 11,"303 N Oregon St, El Paso, TX 79901",9155046400,,El Paso,Texas,79901,http://anson11.com/,"Modern restaurant & bar serving artisan pizzas, steaks, pasta & more in the Anson Mills Building.",31.7590927,-106.4888696,ANSO,500,FALSE,"31.7590927, -106.4888696",Restaurant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.7590927, -106.4888696",,FALSE,FALSE,FALSE,FALSE,0,0,0
SK Cosmetics & Beauty Supply,"210 E San Antonio Ave, El Paso, TX 79901",9153511999,,El Paso,Texas,79901,https://www.instagram.com/skcosmetics.beautysupply,,31.7579967,-106.4874883,SKCO,500,FALSE,"31.7579967, -106.4874883",Beauty supply store,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7579967, -106.4874883",,FALSE,FALSE,FALSE,FALSE,0,0,0
Mamacitas,"325 N Kansas St, El Paso, TX 79901",9155325205,,El Paso,Texas,79901,https://www.mamacitasdowntown.com/,Trendy restaurant with vintage furnishings offering Mexican-inspired dishes & cocktails.,31.761064,-106.486722,MAMA,500,FALSE,"31.761064, -106.486722",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.761064, -106.486722",,FALSE,FALSE,FALSE,FALSE,0,0,0
Mac's Downtown,"315 E Mills Ave, El Paso, TX 79901",9155338100,,El Paso,Texas,79901,http://macsdowntownelpaso.com/,,31.7605984,-106.4864367,MAC',500,FALSE,"31.7605984, -106.4864367",Seafood restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7605984, -106.4864367",,FALSE,FALSE,FALSE,FALSE,0,0,0
Broken Rules Brewing,"1301 Texas Ave Ste A, El Paso, TX 79901",9152974733,,El Paso,Texas,79901,http://www.brokenrulesbrewing.com/,,31.7657554,-106.4766908,BROK,500,FALSE,"31.7657554, -106.4766908",Brewery,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.7657554, -106.4766908",,FALSE,FALSE,FALSE,FALSE,0,0,0
Podium Finish Coffee & Bikes,"1400 Texas Ave, El Paso, TX 79901",9152571032,,El Paso,Texas,79901,http://www.podiumfinishsportcafe.com/,,31.7662689,-106.4750778,PODI,500,FALSE,"31.7662689, -106.4750778",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7662689, -106.4750778",,FALSE,FALSE,FALSE,FALSE,0,0,0
